Transaction ID,First Name,Middle Initial,Last Name,Transaction Date,Owner,Ticker,Asset Name,Company,Description,Rate/Coupon,Maturity Date,Asset Type,Transaction Type,Amount Range,Amount Min,Amount Max,Comment
da4316ba-c518-44d7-8668-31a3e60dcb4d,Ms.,,Smith,2018-06-01,Spouse,PODD,Insulet Corporation,,,,,Stock,Sale (Partial),"$100,001 - $250,000",100001,250000,--
ab163610-9083-4f94-9670-611fb2d5a74d,Ms.,,Smith,2019-10-16,Spouse,,Surgical Information Sciences,"Surgical Information Sciences  (Alpharetta, CA)",Health Management Systems,,,Private Stock,Purchase,"$15,001 - $50,000",15001,50000,--
82ae53ba-601a-4fb6-8741-5edf9f7ae87b,Ms.,,Smith,2018-03-02,Joint,PODD,Insulet Corporation,,,,,Stock,Sale (Partial),"$100,001 - $250,000",100001,250000,--
b350d372-70c1-4587-9888-aaf54653b35a,Ms.,,Smith,2023-11-16,Spouse,AORT,"Artivion, Inc. Common Stock",,,,,Stock,Purchase,"$50,001 - $100,000",50001,100000,Underlying asset of Truchas Capital 401k Plan
f5f7c51a-bb51-4ca3-bcf2-317589400a52,Ms.,,Smith,2023-11-08,Spouse,TCMD,"Tactile Systems Technology, Inc. - Common Stock",,,,,Stock,Purchase,"$100,001 - $250,000",100001,250000,Underlying asset of Truchas Capital 401k Plan
6fd0f369-b280-4a96-bcb4-d5d571d30f83,Ms.,,Smith,2023-11-10,Spouse,AORT,"Artivion, Inc. Common Stock",,,,,Stock,Purchase,"$50,001 - $100,000",50001,100000,Underlying asset of Truchas Capital 401k Plan
c32231ec-6efc-4daf-a95a-558899c4f44e,Ms.,,Smith,2020-05-01,Spouse,,Surgical Information Sciences,"Surgical Information Sciences  (Alpharetta, CA)",Health Management Systems,,,Other Securities,Purchase,"$15,001 - $50,000",15001,50000,--
6729c228-9b12-423e-b2af-6a5d3b0ec681,Ms.,,Smith,2024-04-04,Spouse,PODD,Insulet Corporation - Common Stock,,,,,Stock,Sale (Partial),"$50,001 - $100,000",50001,100000,--
ebdbb74e-24ec-49d5-ac39-4dd1cd57359a,Ms.,,Smith,2024-04-04,Spouse,NEE,Nextera Energy,,,,,Stock,Sale (Partial),"$100,001 - $250,000",100001,250000,--
6c472058-0ed0-4010-9ee3-64bca37100c2,Ms.,,Smith,2023-04-05,Spouse,CSII,"Cardiovascular Systems, Inc. - Common Stock",,,,,Stock,Sale (Full),"$50,001 - $100,000",50001,100000,Underlying asset of Truchas Capital 401k Plan
921728b5-e8cf-44c0-968e-b8005727b369,Ms.,,Smith,2023-04-05,Spouse,MDT,Medtronic plc. Ordinary Shares,,,,,Stock,Sale (Full),"$100,001 - $250,000",100001,250000,Underlying asset of Arch C Smith Revocable Trust U/A DTD 11/23/2015
cb520352-b5f1-451b-b2ee-a024c1402e1d,Ms.,,Smith,2022-09-23,Spouse,AORT,"Artivion, Inc. Common Stock",,,,,Stock,Purchase,"$50,001 - $100,000",50001,100000,--
b54b0644-492d-4518-b8a6-526a061a6906,Ms.,,Smith,2019-04-09,Joint,ABT,Abbott Laboratories,,,,,Stock,Sale (Full),"$250,001 - $500,000",250001,500000,--
f72c93f8-6e5a-44ae-b994-00371707131e,Ms.,,Smith,2018-10-30,Spouse,MSTY.PA,Mainstay Medical International plc,,,,,Stock,Purchase,"$50,001 - $100,000",50001,100000,--
f4c8afa7-c49a-48e5-8edf-992cef39fac1,Ms.,,Smith,2018-10-29,Spouse,MSTY.PA,Mainstay Medical International plc,,,,,Stock,Purchase,"$50,001 - $100,000",50001,100000,--
ffb59772-b928-4c54-851d-264d50f20e87,Ms.,,Smith,2022-04-04,Spouse,,"Northern Lakes Capital IV, LP","Northern Lakes Capital IV, LP  (Minneapolis, MN)",Private Equity,,,Other Securities,Purchase,"$15,001 - $50,000",15001,50000,--
951e37fa-1649-4b95-9d10-1f6226183681,Ms.,,Smith,2021-06-09,Spouse,"['TCF', 'HBAN']",TCF Financial Corporation - Common Stock (Exchanged),,,,,Stock,Exchange,"$100,001 - $250,000",100001,250000,"This exchange was an automatic action applied to all TCF investors, and not initiated by the stock holder."
296f1ea2-f31a-40d2-89ec-b8ef2cd7854c,Ms.,,Smith,2018-07-26,Spouse,IIN,IntriCon Corporation,,,,,Stock,Sale (Partial),"$100,001 - $250,000",100001,250000,--
ad2f9221-3d4a-4314-b850-29846e159a90,Ms.,,Smith,2018-06-28,Spouse,,Surgical Information Sciences,"Surgical Information Sciences  (Alpharetta, CA)",Health Management Systems,,,Private Stock,Purchase,"$15,001 - $50,000",15001,50000,--
8a9df072-f42a-4cd4-916c-aaab1b890c4b,Daniel,S,Sullivan,2022-11-30,Joint,SYK,Stryker Corporation Common Stock,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
6a2c3f88-02d3-4622-bb08-2b2579c0ec2c,Daniel,S,Sullivan,2022-11-30,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
acd26dcd-ed14-4749-9c71-91b8344d150a,Daniel,S,Sullivan,2022-11-30,Joint,META,"Meta Platforms, Inc. - Class A Common Stock",,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
47d07b1a-32f7-4ed6-b61b-ecda15c7c741,Daniel,S,Sullivan,2022-11-30,Joint,MDT,Medtronic plc. Ordinary Shares,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
5a9a9b79-e813-4a05-bf4e-27c1b2ad952c,Daniel,S,Sullivan,2022-11-30,Joint,MLM,"Martin Marietta Materials, Inc. Common Stock",,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
248c4c41-6e1e-43b4-8790-724be86d72eb,Daniel,S,Sullivan,2022-11-30,Joint,FFIV,"F5, Inc. - Common Stock",,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
ac2186e7-5dac-4038-b8fe-e4dc0c80dd8e,Daniel,S,Sullivan,2022-11-30,Joint,ELAN,Elanco Animal Health Incorporated Common Stock,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
c3924da1-a55d-426d-ac74-b82f4da37121,Daniel,S,Sullivan,2022-11-30,Joint,CMCSA,Comcast Corporation - Class A Common Stock,,,,,Stock,Sale (Full),"$1,001 - $15,000",1001,15000,--
